Feature,Mean_Abs_SHAP,Contribution_Pct
sun_VX,4.298285637613308,42.845078551918355
sun_Y,1.3135185044209878,13.093081345930443
sun_Z,1.2733242288024482,12.692426982445651
DayOfYear,0.42513294928594597,4.237702224294049
sun_VY,0.38606680013697464,3.8482929643878054
saturn_VY,0.31148426734388435,3.1048583149643365
saturn_VX,0.31002572001032375,3.090319594100547
sun_X,0.28329600580380376,2.823879249878894
jupiter_VY,0.2719043589785714,2.7103279310014905
venus_Z,0.17094689541682376,1.7039893994591024
venus_X,0.09781416395433383,0.9750062912153726
jupiter_X,0.07782011498478043,0.7757066934466481
saturn_X,0.06973442280369811,0.6951089514972634
venus_VY,0.06811123237242078,0.678929077148239
venus_Y,0.05756306681861626,0.5737855339233314
sun_VZ,0.056539795457847715,0.5635856203930615
venus_VX,0.05500340171279293,0.5482709307136432
jupiter_Z,0.05017386744436892,0.5001303945684688
saturn_Z,0.04537713924463268,0.45231686754004685
moon_Y,0.04362488088280764,0.4348504510462987
venus_VZ,0.04304761502756233,0.4290962962509793
jupiter_VX,0.03738699238026415,0.3726715161354057
moon_VY,0.03381013424949809,0.3370175879179142
jupiter_VZ,0.03139316021786699,0.3129253216113218
moon_Z,0.02959878764437326,0.295039112935475
Day,0.02877152268890383,0.286792980642597
moon_VZ,0.02786202794905139,0.27772718631042415
moon_X,0.02639464068330584,0.2631003494811569
saturn_VZ,0.024112452964040472,0.2403516258396908
WeekOfYear,0.023937175101247668,0.23860446559188098
moon_VX,0.021730102787221154,0.21660448824353112
saturn_Y,0.017062105235794715,0.17007414134874402
jupiter_Y,0.01658863027072757,0.16535456852809435
Month,0.0032025509682673354,0.03192285468448444
Year,0.0015118595955454965,0.015070134605243705
